PropertyPath;ElementID;ElementName;ElementAdmin;AssociateElementID;CategoryID;Unit;LowerLimit;UpperLimit;ReadMaskingLevel;WriteMaskingLevel;Description;VID;
AirBlowWaferCleaningModule.AirBlowDeviceFile.AirBlowCleaningEnable;25;AirBlowCleaningEnable;유준호;;20701;;0;0;0;0;중복;;
AirBlowWaferCleaningModule.AirBlowDeviceFile.AirBlowTempControlEnable;26;AirBlowTempControlEnable;유준호;;20701;;0;0;0;0;중복;;
AirBlowWaferCleaningModule.AirBlowDeviceFile.CheckTempInjuryTimeOfSeconds;27;CheckTempInjuryTimeOfSeconds;유준호;;20701;;0;0;0;0;중복;;
AirBlowWaferCleaningModule.AirBlowDeviceFile.CheckTempTimeofSeconds;28;CheckTempTimeofSeconds;유준호;;20701;;0;0;0;0;중복;;
AirBlowWaferCleaningModule.AirBlowDeviceFile.ChuckCleaningAfterLoading;29;ChuckCleaningAfterLoading;유준호;;20701;;0;0;0;0;중복;;
AirBlowWaferCleaningModule.AirBlowDeviceFile.ChuckCleaningAfterUnLoading;30;ChuckCleaningAfterUnLoading;유준호;;20701;;0;0;0;0;중복;;
AirBlowWaferCleaningModule.AirBlowDeviceFile.ChuckCleaningBeforeLoading;31;ChuckCleaningBeforeLoading;유준호;;20702;;0;0;0;0;중복;;
AirBlowWaferCleaningModule.AirBlowDeviceFile.ChuckCleaningBeforeUnLoading;32;ChuckCleaningBeforeUnLoading;유준호;;20702;;0;0;0;0;중복;;
AirBlowWaferCleaningModule.AirBlowDeviceFile.CleaningCount;33;CleaningCount;유준호;;20702;;0;0;0;0;중복;;
AirBlowWaferCleaningModule.AirBlowDeviceFile.CleaningTime;34;CleaningTime;유준호;;20702;;0;0;0;0;중복;;
AirBlowWaferCleaningModule.AirBlowDeviceFile.TargetTemp;35;TargetTemp;유준호;;20702;;0;0;0;0;중복;;
AirBlowWaferCleaningModule.AirBlowDeviceFile.TempOffsetLimit;36;TempOffsetLimit;유준호;;20702;;0;0;0;0;중복;;
AirCoolingModule.AirCoolingDeviceFile.AirActivatingTime;37;AirActivatingTime;UNKNOWN;;;;0;0;0;0;AirActivatingTime;;
AirCoolingModule.AirCoolingDeviceFile.AirCoolingEnable;38;AirCoolingEnable;UNKNOWN;;;;0;0;0;0;AirCoolingEnable;;
AirCoolingModule.AirCoolingDeviceFile.AirDeActivatingTime;39;AirDeActivatingTime;UNKNOWN;;;;0;0;0;0;AirDeActivatingTime;;
AirCoolingModule.AirCoolingDeviceFile.TargetTemp;40;TargetTemp;UNKNOWN;;;;0;0;0;0;TargetTemp;;
AutoTiltModule.AutoTiltDeviceFile.PinAdjustEnable;41;상판 틸팅 기능 켜기/끄기;유준호;;98;;0;0;0;0;상판 자동 틸팅 기능을 사용할 지 말 지 결정합니다. (ON/OFF);;
AutoTiltModule.AutoTiltDeviceFile.TiltIntPlaneMinMaxtol;42;TiltIntPlaneMinMaxtol;유준호;;98;micron;0;200;0;0;의미 불명;;
AutoTiltModule.AutoTiltDeviceFile.TiltSkipAreaRatioX;43;TiltSkipAreaRatioX;UNKNOWN;;;;0;0;0;0;TiltSkipAreaRatioX;;
AutoTiltModule.AutoTiltDeviceFile.TiltSkipAreaRatioY;44;TiltSkipAreaRatioY;UNKNOWN;;;;0;0;0;0;TiltSkipAreaRatioY;;
BinManager.BinDeviceParam.BinInfos;1641;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
EdgeStandard.WA_EdgeParam_Standard.#LightValueParam.Type;608;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
EdgeStandard.WA_EdgeParam_Standard.#LightValueParam.Value;615;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
EdgeStandard.WA_EdgeParam_Standard.EdgeMovement;52;Set Edge Movement;Leina;;10011001;;0;0;0;0;Lot Set condition to execute EdgeDetection operation during operation.;;
EdgeStandard.WA_EdgeParam_Standard.FocusParam.CheckDualPeak;579;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
EdgeStandard.WA_EdgeParam_Standard.FocusParam.CheckFlatness;578;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
EdgeStandard.WA_EdgeParam_Standard.FocusParam.CheckPotential;87;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
EdgeStandard.WA_EdgeParam_Standard.FocusParam.CheckThresholdFocusValue;576;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
EdgeStandard.WA_EdgeParam_Standard.FocusParam.DepthOfField;49;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
EdgeStandard.WA_EdgeParam_Standard.FocusParam.FlatnessThreshold;84;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
EdgeStandard.WA_EdgeParam_Standard.FocusParam.FocusingAxis;600;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
EdgeStandard.WA_EdgeParam_Standard.FocusParam.FocusingCam;592;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
EdgeStandard.WA_EdgeParam_Standard.FocusParam.FocusingROI;599;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
EdgeStandard.WA_EdgeParam_Standard.FocusParam.FocusingType;601;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
EdgeStandard.WA_EdgeParam_Standard.FocusParam.FocusMaxStep;47;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
EdgeStandard.WA_EdgeParam_Standard.FocusParam.FocusRange;48;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
EdgeStandard.WA_EdgeParam_Standard.FocusParam.FocusThreshold;51;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
EdgeStandard.WA_EdgeParam_Standard.FocusParam.OutFocusLimit;50;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
EdgeStandard.WA_EdgeParam_Standard.FocusParam.PeakRangeThreshold;85;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
EdgeStandard.WA_EdgeParam_Standard.FocusParam.PotentialThreshold;86;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
EdgeStandard.WA_EdgeParam_Standard.gIntEdgeDetectProcTolerance;617;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
EdgeStandard.WA_EdgeParam_Standard.gIntEdgeDetectProcToleranceLoadingPos;631;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
EdgeStandard.WA_EdgeParam_Standard.gIntEdgeDetectProcToleranceRad;624;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
FileManager.FileManagerParam.TestIntParam;616;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
FoupOpModule.FoupManagerDeviceParameter.FoupDeviceParam[0].SubstrateSize;53;SubstrateSize;UNKNOWN;;;;0;0;0;0;SubstrateSize;;
FoupOpModule.FoupManagerDeviceParameter.FoupDeviceParam[0].SubstrateType;54;SubstrateType;UNKNOWN;;;;0;0;0;0;SubstrateType;;
GP_LoaderController.LoaderDeviceParameter.ARMDevice[0].Label;20001029;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.ARMDevice[1].Label;20001030;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.CassetteDevice[0].AllocateDeviceInfo.DeviceName;20000876;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.CassetteDevice[0].AllocateDeviceInfo.NotchAngle;20000877;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.CassetteDevice[0].AllocateDeviceInfo.OCRDirection;20000875;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.CassetteDevice[0].AllocateDeviceInfo.OCRMode;20000873;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.CassetteDevice[0].AllocateDeviceInfo.OCRType;20000874;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.CassetteDevice[0].AllocateDeviceInfo.Size;20000871;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.CassetteDevice[0].AllocateDeviceInfo.SlotNotchAngle;20000878;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.CassetteDevice[0].AllocateDeviceInfo.Type;20000870;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.CassetteDevice[0].AllocateDeviceInfo.WaferType;20000872;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.CassetteDevice[0].Label;20000866;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.CassetteDevice[0].LoadingNotchAngle;20000869;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.CassetteDevice[0].SlotDevice[0].IsOverrideEnable;20000880;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.CassetteDevice[0].SlotDevice[0].Label;20000879;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.CassetteDevice[0].SlotDevice[0].OverrideOCRDirection;20000884;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.CassetteDevice[0].SlotDevice[0].OverrideOCRMode;20000882;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.CassetteDevice[0].SlotDevice[0].OverrideOCRType;20000883;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.CassetteDevice[0].SlotDevice[0].OverrideWaferType;20000881;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.CassetteDevice[0].SlotDevice[1].IsOverrideEnable;20000886;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.CassetteDevice[0].SlotDevice[1].Label;20000885;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.CassetteDevice[0].SlotDevice[1].OverrideOCRDirection;20000890;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.CassetteDevice[0].SlotDevice[1].OverrideOCRMode;20000888;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.CassetteDevice[0].SlotDevice[1].OverrideOCRType;20000889;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.CassetteDevice[0].SlotDevice[1].OverrideWaferType;20000887;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.CassetteDevice[0].SlotDevice[10].IsOverrideEnable;20000940;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.CassetteDevice[0].SlotDevice[10].Label;20000939;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.CassetteDevice[0].SlotDevice[10].OverrideOCRDirection;20000944;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.CassetteDevice[0].SlotDevice[10].OverrideOCRMode;20000942;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.CassetteDevice[0].SlotDevice[10].OverrideOCRType;20000943;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.CassetteDevice[0].SlotDevice[10].OverrideWaferType;20000941;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.CassetteDevice[0].SlotDevice[11].IsOverrideEnable;20000946;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.CassetteDevice[0].SlotDevice[11].Label;20000945;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.CassetteDevice[0].SlotDevice[11].OverrideOCRDirection;20000950;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.CassetteDevice[0].SlotDevice[11].OverrideOCRMode;20000948;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.CassetteDevice[0].SlotDevice[11].OverrideOCRType;20000949;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.CassetteDevice[0].SlotDevice[11].OverrideWaferType;20000947;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.CassetteDevice[0].SlotDevice[12].IsOverrideEnable;20000952;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.CassetteDevice[0].SlotDevice[12].Label;20000951;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.CassetteDevice[0].SlotDevice[12].OverrideOCRDirection;20000956;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.CassetteDevice[0].SlotDevice[12].OverrideOCRMode;20000954;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.CassetteDevice[0].SlotDevice[12].OverrideOCRType;20000955;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.CassetteDevice[0].SlotDevice[12].OverrideWaferType;20000953;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.CassetteDevice[0].SlotDevice[13].IsOverrideEnable;20000958;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.CassetteDevice[0].SlotDevice[13].Label;20000957;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.CassetteDevice[0].SlotDevice[13].OverrideOCRDirection;20000962;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.CassetteDevice[0].SlotDevice[13].OverrideOCRMode;20000960;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.CassetteDevice[0].SlotDevice[13].OverrideOCRType;20000961;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.CassetteDevice[0].SlotDevice[13].OverrideWaferType;20000959;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.CassetteDevice[0].SlotDevice[14].IsOverrideEnable;20000964;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.CassetteDevice[0].SlotDevice[14].Label;20000963;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.CassetteDevice[0].SlotDevice[14].OverrideOCRDirection;20000968;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.CassetteDevice[0].SlotDevice[14].OverrideOCRMode;20000966;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.CassetteDevice[0].SlotDevice[14].OverrideOCRType;20000967;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.CassetteDevice[0].SlotDevice[14].OverrideWaferType;20000965;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.CassetteDevice[0].SlotDevice[15].IsOverrideEnable;20000970;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.CassetteDevice[0].SlotDevice[15].Label;20000969;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.CassetteDevice[0].SlotDevice[15].OverrideOCRDirection;20000974;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.CassetteDevice[0].SlotDevice[15].OverrideOCRMode;20000972;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.CassetteDevice[0].SlotDevice[15].OverrideOCRType;20000973;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.CassetteDevice[0].SlotDevice[15].OverrideWaferType;20000971;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.CassetteDevice[0].SlotDevice[16].IsOverrideEnable;20000976;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.CassetteDevice[0].SlotDevice[16].Label;20000975;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.CassetteDevice[0].SlotDevice[16].OverrideOCRDirection;20000980;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.CassetteDevice[0].SlotDevice[16].OverrideOCRMode;20000978;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.CassetteDevice[0].SlotDevice[16].OverrideOCRType;20000979;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.CassetteDevice[0].SlotDevice[16].OverrideWaferType;20000977;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.CassetteDevice[0].SlotDevice[17].IsOverrideEnable;20000982;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.CassetteDevice[0].SlotDevice[17].Label;20000981;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.CassetteDevice[0].SlotDevice[17].OverrideOCRDirection;20000986;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.CassetteDevice[0].SlotDevice[17].OverrideOCRMode;20000984;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.CassetteDevice[0].SlotDevice[17].OverrideOCRType;20000985;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.CassetteDevice[0].SlotDevice[17].OverrideWaferType;20000983;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.CassetteDevice[0].SlotDevice[18].IsOverrideEnable;20000988;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.CassetteDevice[0].SlotDevice[18].Label;20000987;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.CassetteDevice[0].SlotDevice[18].OverrideOCRDirection;20000992;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.CassetteDevice[0].SlotDevice[18].OverrideOCRMode;20000990;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.CassetteDevice[0].SlotDevice[18].OverrideOCRType;20000991;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.CassetteDevice[0].SlotDevice[18].OverrideWaferType;20000989;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.CassetteDevice[0].SlotDevice[19].IsOverrideEnable;20000994;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
GP_LoaderController.LoaderDeviceParameter.CassetteDevice[0].SlotDevice[19].Label;20000993;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;;
