PropertyPath;ElementID;ElementName;ElementAdmin;AssociateElementID;CategoryID;Unit;LowerLimit;UpperLimit;ReadMaskingLevel;WriteMaskingLevel;Description;VID,
GEMModule.PIVContainer.ExchangerProberCardIDs[3];30000009;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0,
GEMModule.PIVContainer.ExchangerProberCardIDs[4];30000015;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0,
GEMModule.PIVContainer.ExchangerProberCardIDs[5];30000031;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0,
GEMModule.PIVContainer.ExchangerProberCardIDs[6];30000001;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0,
GEMModule.PIVContainer.ExchangerProberCardIDs[7];30000007;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0,
GEMModule.PIVContainer.ExchangerProberCardIDs[8];30000030;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0,
GEMModule.PIVContainer.FoupStates[0];30000039;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0,
GEMModule.PIVContainer.FoupStates[1];30000024;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0,
GEMModule.PIVContainer.FoupStates[2];30000016;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0,
GEMModule.PIVContainer.PreHeatStates[0];30000064;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0,
GEMModule.PIVContainer.PreHeatStates[1];30000073;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0,
GEMModule.PIVContainer.PreHeatStates[10];30000044;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0,
GEMModule.PIVContainer.PreHeatStates[11];30000094;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0,
GEMModule.PIVContainer.PreHeatStates[2];30000048;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0,
GEMModule.PIVContainer.PreHeatStates[3];30000056;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0,
GEMModule.PIVContainer.PreHeatStates[4];30000091;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0,
GEMModule.PIVContainer.PreHeatStates[5];30000096;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0,
GEMModule.PIVContainer.PreHeatStates[6];30000074;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0,
GEMModule.PIVContainer.PreHeatStates[7];30000082;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0,
GEMModule.PIVContainer.PreHeatStates[8];30000072;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0,
GEMModule.PIVContainer.PreHeatStates[9];30000080;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0,
GEMModule.PIVContainer.StageProberCardIDs[0];30000089;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0,
GEMModule.PIVContainer.StageProberCardIDs[1];30000083;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0,
GEMModule.PIVContainer.StageProberCardIDs[10];30000046;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0,
GEMModule.PIVContainer.StageProberCardIDs[11];30000081;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0,
GEMModule.PIVContainer.StageProberCardIDs[2];30000070;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0,
GEMModule.PIVContainer.StageProberCardIDs[3];30000061;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0,
GEMModule.PIVContainer.StageProberCardIDs[4];30000060;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0,
GEMModule.PIVContainer.StageProberCardIDs[5];30000055;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0,
GEMModule.PIVContainer.StageProberCardIDs[6];30000043;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0,
GEMModule.PIVContainer.StageProberCardIDs[7];30000093;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0,
GEMModule.PIVContainer.StageProberCardIDs[8];30000084;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0,
GEMModule.PIVContainer.StageProberCardIDs[9];30000075;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0,
GEMModule.PIVContainer.StageStates[0];30000085;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0,
GEMModule.PIVContainer.StageStates[1];30000076;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0,
GEMModule.PIVContainer.StageStates[10];30000065;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0,
GEMModule.PIVContainer.StageStates[11];30000097;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0,
GEMModule.PIVContainer.StageStates[2];30000098;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0,
GEMModule.PIVContainer.StageStates[3];30000092;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0,
GEMModule.PIVContainer.StageStates[4];30000049;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0,
GEMModule.PIVContainer.StageStates[5];30000041;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0,
GEMModule.PIVContainer.StageStates[6];30000066;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0,
GEMModule.PIVContainer.StageStates[7];30000059;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0,
GEMModule.PIVContainer.StageStates[8];30000077;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0,
GEMModule.PIVContainer.StageStates[9];30000069;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0,
LoaderMaster.PIV.LoaderPIV.ExchangerProberCardIDs[0];30000110;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;331,
LoaderMaster.PIV.LoaderPIV.ExchangerProberCardIDs[1];30000104;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;332,
LoaderMaster.PIV.LoaderPIV.ExchangerProberCardIDs[2];30000116;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;333,
LoaderMaster.PIV.LoaderPIV.ExchangerProberCardIDs[3];30000114;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;334,
LoaderMaster.PIV.LoaderPIV.ExchangerProberCardIDs[4];30000112;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;335,
LoaderMaster.PIV.LoaderPIV.ExchangerProberCardIDs[5];30000107;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;336,
LoaderMaster.PIV.LoaderPIV.ExchangerProberCardIDs[6];30000102;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;337,
LoaderMaster.PIV.LoaderPIV.ExchangerProberCardIDs[7];30000115;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;338,
LoaderMaster.PIV.LoaderPIV.ExchangerProberCardIDs[8];30000108;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;339,
LoaderMaster.PIV.LoaderPIV.FoupStates[0];30000103;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;351,
LoaderMaster.PIV.LoaderPIV.FoupStates[1];30000109;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;352,
LoaderMaster.PIV.LoaderPIV.FoupStates[2];30000111;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;353,
LoaderSupervisor.LoaderPIV.FoupNumber;30000101;FoupNumber;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0,
LoaderSupervisor.LoaderPIV.FoupState;30000113;FoupState;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0,
LoaderSupervisor.LoaderPIV.ListOfSlot;30000105;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0,
LoaderSupervisor.LoaderPIV.ListOfStages;30000106;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0,
LoaderSupervisor.LoaderPIV.LotID;30000100;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0,
StageModule.PIV.StagePIV.PreHeatStates[0];30000102;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;251,
StageModule.PIV.StagePIV.PreHeatStates[1];30000141;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;252,
StageModule.PIV.StagePIV.PreHeatStates[10];30000124;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;261,
StageModule.PIV.StagePIV.PreHeatStates[11];30000138;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;262,
StageModule.PIV.StagePIV.PreHeatStates[2];30000125;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;253,
StageModule.PIV.StagePIV.PreHeatStates[3];30000116;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;254,
StageModule.PIV.StagePIV.PreHeatStates[4];30000151;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;255,
StageModule.PIV.StagePIV.PreHeatStates[5];30000136;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;256,
StageModule.PIV.StagePIV.PreHeatStates[6];30000119;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;257,
StageModule.PIV.StagePIV.PreHeatStates[7];30000110;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;258,
StageModule.PIV.StagePIV.PreHeatStates[8];30000146;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;259,
StageModule.PIV.StagePIV.PreHeatStates[9];30000129;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;260,
StageModule.PIV.StagePIV.StageProberCardIDs[0];30000108;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;301,
StageModule.PIV.StagePIV.StageProberCardIDs[1];30000121;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;302,
StageModule.PIV.StagePIV.StageProberCardIDs[10];30000114;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;311,
StageModule.PIV.StagePIV.StageProberCardIDs[11];30000100;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;312,
StageModule.PIV.StagePIV.StageProberCardIDs[2];30000140;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;303,
StageModule.PIV.StagePIV.StageProberCardIDs[3];30000150;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;304,
StageModule.PIV.StagePIV.StageProberCardIDs[4];30000115;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;305,
StageModule.PIV.StagePIV.StageProberCardIDs[5];30000127;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;306,
StageModule.PIV.StagePIV.StageProberCardIDs[6];30000145;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;307,
StageModule.PIV.StagePIV.StageProberCardIDs[7];30000101;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;308,
StageModule.PIV.StagePIV.StageProberCardIDs[8];30000118;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;309,
StageModule.PIV.StagePIV.StageProberCardIDs[9];30000131;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;310,
StageModule.PIV.StagePIV.StageStates[0];30000130;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;201,
StageModule.PIV.StagePIV.StageStates[1];30000147;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;202,
StageModule.PIV.StagePIV.StageStates[10];30000105;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;211,
StageModule.PIV.StagePIV.StageStates[11];30000144;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;212,
StageModule.PIV.StagePIV.StageStates[2];30000107;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;203,
StageModule.PIV.StagePIV.StageStates[3];30000117;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;204,
StageModule.PIV.StagePIV.StageStates[4];30000126;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;205,
StageModule.PIV.StagePIV.StageStates[5];30000143;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;206,
StageModule.PIV.StagePIV.StageStates[6];30000104;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;207,
StageModule.PIV.StagePIV.StageStates[7];30000112;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;208,
StageModule.PIV.StagePIV.StageStates[8];30000142;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;209,
StageModule.PIV.StagePIV.StageStates[9];30000103;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;210,
StageSupervisor.MarkObject.AlignState;30000078;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0,
StageSupervisor.MarkObject.MarkSetupChangedToggle;30000051;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0,
StageSupervisor.ProbeCard.AlignState;30000099;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0,
StageSupervisor.ProbeCard.PinSetupChangedToggle;30000053;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0,
StageSupervisor.ProbeCard.ProbeCardChangedToggle;30000047;EMPTY;EMPTY;C2,D896;EMPTY;EMPTY;0;0;100;100;EMPTY;0
StageSupervisor.StagePIV.CleaningTouchDownCount;30000132;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;1063,
StageSupervisor.StagePIV.CurTemperature;30000137;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;30851,
StageSupervisor.StagePIV.DevDownResult;30000111;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;1037,
StageSupervisor.StagePIV.LoadFoupNumber;30000134;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;1035,
StageSupervisor.StagePIV.LotID;30000113;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;1520,
StageSupervisor.StagePIV.PreHeatState;30000148;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;1241,
StageSupervisor.StagePIV.ProbeCardID;30000122;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;1105,
StageSupervisor.StagePIV.ProbeCardState;30000106;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;1106,
StageSupervisor.StagePIV.RecipeID;30000135;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;30098,
StageSupervisor.StagePIV.SetTemperature;30000133;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;1025,
StageSupervisor.StagePIV.SlotNumber;30000128;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;1508,
StageSupervisor.StagePIV.StageNumber;30000149;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;1090,
StageSupervisor.StagePIV.StageState;30000123;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;1091,
StageSupervisor.StagePIV.WaferID;30000109;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;1503,
StageSupervisor.StagePIV.XCoordinate;30000120;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;1595,
StageSupervisor.StagePIV.YCoordinate;30000139;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;1596,
StageSupervisor.WaferObject.AlignState;30000095;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0,
StageSupervisor.WaferObject.PadSetupChangedToggle;30000045;EMPTY;EMPTY;C6,C4;EMPTY;EMPTY;0;0;100;100;EMPTY;0
StageSupervisor.WaferObject.PolishWaferInfo.CurrentAngle;30000079;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0,
StageSupervisor.WaferObject.PolishWaferInfo.DefineName;30000054;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0,
StageSupervisor.WaferObject.PolishWaferInfo.IdentificationColorBrush;30000058;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0,
StageSupervisor.WaferObject.PolishWaferInfo.Margin;30000052;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0,
StageSupervisor.WaferObject.PolishWaferInfo.MaxLimitCount;30000068;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0,
StageSupervisor.WaferObject.PolishWaferInfo.RotateAngle;30000087;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0,
StageSupervisor.WaferObject.PolishWaferInfo.Size;30000050;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0,
StageSupervisor.WaferObject.PolishWaferInfo.Thickness;30000062;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0,
StageSupervisor.WaferObject.PolishWaferInfo.TouchCount;30000057;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0,
StageSupervisor.WaferObject.WaferAlignSetupChangedToggle;30000063;EMPTY;EMPTY;C2;EMPTY;EMPTY;0;0;100;100;EMPTY;0,
TempController.TemperatureInfo.CurTemp;30000042;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0,
TempController.TemperatureInfo.DewPoint;30000090;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0,
TempController.TemperatureInfo.MV;30000088;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0,
TempController.TemperatureInfo.PreSetTemp;30000086;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0,
TempController.TemperatureInfo.SetTemp;30000071;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0,
TempController.TemperatureInfo.TargetTemp;30000067;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0,
